序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,,,,,,,,,
,Null,,,,,,,,,
index,Null,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
1,牛头开幕,0,0,0,0,13000,1,-1,[2+3+4],[]
2,牛头开幕,0,1,0,0,200,1,-1,[],[]
3,狼人,0,1,0,0,2500,2,-1,[],[]
4,狼人2,0,1,0,0,2000,2,-1,[5+6+7+8],[]
5,精灵弓,0,1,0,0,4000,4,-1,[],[]
6,小鹿,0,1,0,0,4200,3,-1,[],[]
7,水元素,0,1,0,0,4500,7,-1,[],[]
8,龙,0,1,0,0,5000,5,-1,[],[]
9,夜刃,0,0,1,500,1000,6,-1,[],[]
